No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考,クラス,カウント
29,至仏山,36.9036111,139.1733333,しぶつさん,2228,群馬県,上信越,,百名山,1
30,谷川岳（オキノ耳）,36.8372222,138.93,たにがわだけ（おきのみみ）,1977,群馬県･新潟県,上信越,,百名山,1
31,雨飾山,36.9019444,137.9625,あまかざりやま,1963,新潟県・長野県,上信越,,百名山,0
32,苗場山,36.8458333,138.6902777,なえばさん,2145,新潟県・長野県,上信越,,百名山,0
33,妙高山,36.8913888,138.1136111,みょうこうさん,2454,新潟県,上信越,,百名山,0
34,火打山,36.9227777,138.0680555,ひうちやま,2462,新潟県,上信越,,百名山,0
35,高妻山,36.8,138.0519444,たかつまやま,2353,新潟県・長野県,上信越,,百名山,0
36,男体山,36.765,139.4908333,なんたいさん,2486,栃木県,北関東,,百名山,0
37,白根山（日光白根山）,36.7986111,139.3758333,しらねさん（にっこうしらねさん）,2578,群馬県･栃木県,北関東,,百名山,0
38,皇海山,36.69,139.3369444,すかいさん,2144,栃木県・群馬県,北関東,,百名山,0
39,武尊山,36.8052777,139.1325,ほたかやま,2158,群馬県,北関東,,百名山,0
40,赤城山（黒?山）,36.5602777,139.1933333,あかぎさん（くろびさん）,1828,群馬県,北関東,,百名山,0
